word, definition
A| a. Poba! (Es.: ad ogni espressione di questo tipo, sia che si tratti di interrogativa << sirata pastrano asane domani? >> <<ah?>>, sia che si tratti di qualsiasi altro senso o significato ("quale è la prima lettera dell'alfabeto?" risposta: "a") si deve obbligatoriamente rispondere Poba; o, nelle varianti del sulcis Ammincullu e nel sassarese "Kizz" (che naturalmente deriva da una parola "poco" utilizzata a Sassari: "gazzu"). Si notano varie tecniche di seduzione per indurre l'avversario a dire la famigerata lettera; riportiamo alcune di esse a mo' di esempio: a) (poba!) frasi che non hanno alcun senso: es. - isiridata panino? - ah? - poba! b) frasi con un senso ma senza significato es: - l'hai preso il woofer del pastrano? - ah? - poba! c) frasi pronunciate a voce bassa d) frasi con senso compiute ma urlate da lontano e) induzione alla pronuncia tramite tattiche subdole es: come si scrive LA in inglese? A! Poba. Per quanto concerne infine la pobologia comparata si noti che in toscana vi è un fenomeno simile; per la differente pronuncia dialettale si usa dire "poppa" allorquando qualcheduno pronunci la lettera "e" particolarmente a lungo. (Un super ringraziamento per la gustosa lezione offertaci da pepi !)
A arrogus e a mussius| a piccole dosi, in maniera incostante (Es.: o Gigginu, ma ti bolis sezzi con su culu in sa carira una bona borta? Ses studiendi tottu a arrogus e a mussius!; caro Luigino, mettici un po' di impegno nello studio, sei troppo incostante!) (Segnalazione dell'Artificier Ragno)
Ababuasbiu| hai visto papa'. Si usa quando una persona tenta di prendere in giro o quando è bugiarda (Segnalazione di SettiBiccusDePudda|
Abbereladu| addormentato (Es. bruttu abbereladu, movedi a impastare su cimentu!; brutto addormentato muoviti a impastare il cemento!) (Segnalazione di FrAnZ di Giave)
Abberrudau| accaldato (Es. parese abberrudau...sese assuttu che linna!; sembri molto accaldato....sei asciutto come il legno) (Segnalazione di Blob)
A balla ki ti occana| fatti fucilare (esclamazione di disappunto) (es| eris mi so coddadu una femina ki teniada sos mustazzos! - risp: eh, a balla ti occana! - trad: ieri ho trombato con una ragazza coi baffi! - risposta: e che cazzo!) (Ringraziamo Boxgod by Posada per la segnalazione)
Abi coddas?| interrogativa: vuoi accopiarti? Es: ohe', traila abi coddas? TRAD: ciao, vitella vuoi fare l'amore con me? (Ringraziamo jumbolo per la segnalazione)
Abbaidare| guardare (Es: 1) "abbaidami s'istampu 'e su culu"; "guardami l'ano"; 2: "Marì, si torras a comminzare a fummare no t'abbaido piusu in faccia". "E tando m'abbaidas a culu!"; "Maria, se ricominci a fumare non ti guardo più in faccia!". "E allora guardami il deretano!") (Segnalazione di Puddas Baddinosas)
Abbarra| rimani (Es.: abbarra in pizzu tuo!; (lett.) rimani sopra di te (fig.) non invadere il mio spazio) (Segnalazione di Jaja)
Abbarra cunfettau| Resta tranquillo (o fermo) (Es.: abbarra cunfettau ca' no ti beni un accidenti; abbarra cunfettau innia; resta tranquillo che ti viene un colpo; resta fermo lì) (Segnalazione di taiei)
Abarradeddu| in slang rincoglionito (Es.: ma cummenti cazzu faisi a sbagliai arruga, deu ti du nau ca sesi abarradeddu; ma come cazzo fai a sbagliare strada, io te lo dico (sempre) che sei rincoglionito) (Segnalazione di Mendietagaizka)
Abbarrau| fermo. Termine usato con disprezzo. Nella lingua Italiana non viene bene e non da l'idea, come molte frasi Sarde(Es.: nara picciokeddu! Abbarrau siaste in gui!; senti ragazzo resta fermo lì!) (Segnalazione di scoffau)
Abrìnchidu| salto. (es.: "D'asi biu su gattu de Battòri? Adi onau unu abrìnchidu in su muru de òmmu... parìada unu pibizzìri in su trigu" - trad: "Hai visto il gatto di Salvatore? Ha fatto un salto sul muro di casa... allo stesso modo in cui farebbe una cavalletta in mezzo al grano") (ringraziamo sonetaula)
Abbabballokkatu| impalato, attonito. (Es: A itte sese abbabballokkatu? Risposta: ...no...ca appo istu una luke in kelu! TRAD: Perchè sei rimasto impalato?..no... è che ho visto una luce in celo! ) (Ringraziamo il piscia per la segnalazione)
Abbaerau| sciocco (Es.: cuddu tipu este tottu abbaerau: bistu l'ase cando a fattu bidere sa fotografia sua e de su poleddu ade ammustrau chie idi issu e chie idi su poleddu?; quel tipo è tutto sciocco: hai notato che quando ha mostrato la foto sua e del suo asino ha specificato chi era lui e chi era l'asino?) (Segnalazione di Trinitroglicerina)
Abbarracoccau| aperto, maturo (Es.: potasa su piricoccu abbarracoccau o chicchina!; quel tipo è tutto sciocco: Trad: hai la fighetta gonfia e eccitata o chicchina!) (Segnalazione di vichingo)
Abbentadu| incantato. (es: oh bruttu fizu e bagassa a ti ne pesa che sese abbentadu - trad: oh brutto figlio di puttana ti alzi che sei incantato) (ringraziamo torigheddu ittiresu)
Abbettiosu| testardo, che ha sempre da ridire (Es.: Tonio: "Du scisi chi appu biu sorri tua a intr'e s'aliga cicchendi cos'e pappai?". Sandro: "Ma la ga no fia sorri mia!". Tonio: "Ahhh! Ma la chi sesi abbettiosu, fia sorri tua!"; Antonio: "Lo sai che ho visto tua sorella dentro un bidone dell'immondizia cercando roba da mangiare?". Alessandro: "Ma guarda che non era mia sorella!". Antonio: "Uffa! Ma guarda che sei testardo, era tua sorella!") (Segnalazione di Scream)
Abbistu| sveglio (Es.: sesi abbistu meda!; sei molto sveglio! (Dicesi di persona molto poco attiva mentalmente, in gergo "poco uscita"!!)) (Segnalazione di Bizio)
Abbrabbabau| incantato su qualcosa, rintontito (Es.: Tizio: "Femmu buffendi sa birrixedda e mi da seu tottu sciorroccada in pizzus!" Caio: "E itta fiasta abbrabbabau castiendi pivellas?"; Tizio: "Mi stavo bevendo la birretta e me la son versata addosso!" Caio: "Cos'eri incantato guardando le ragazze?") (Segnalazione di Tocco Achille)
Abbruxiài| bruciare (es.: appu abbruxiau sa macchina de giginu poitta esti unu bellu calloni; ho bruciato la macchina di Luigino perche e proprio stupido)
Abbuccai| rovesciare, ribaltare (Es.: candu ses' in camporella, issa, chi non di pori prusu, ti narat: Paolo, abbucca il serile!; quando sei appartato con la tua bella, essa, in un momento di passione ti chiede: Paolo ribalta il sedile! (per stare più comodi ed amoreggiare) (Segnalazione di Sampey)
Abbuerau| impedito. (es.: Oh Chicchì, bittu d'àsi a connau tu seghendu linna? Già è pagu abbuerau! ; trad.: Oh Luigi, l'hai visto tuo cognato tagliando legna? Come è impedito!!) (Segnalazione di Stefaneddu)
Abbungìai| Rompere, rovinare Verbo derivato dalla parola 'Bungiu' , ovvero 'piccolo rilievo'. ' Bungiu' si usa correntemente per definire un bernoccolo o degli ematomi sul corpo. Oggi viene anche usata. seppur non correttamente. per indicare bozzi sulla carrozzeria delle auto e simili.(es.: La ghi di òngu unu cartòni e t'abbùngiu sa conca! ; Guarda che ti potrei infliggere uno scappellotto(o Ceffone)e ti rompo la scatola cranica!) (Grazie a Tacashi e a Antoneddu per l'aggiornamento etimologico .)
Abbunzare| Palpeggiare. (es.: Ma càstia cussu maniacu, m'ata tottu abbunzara in su pulman de s'ACT. ; trad.: Ma guarda quel tapino, mi ha toccata pesantemente a bordo del bus CTM.) (Grazie a Spina Bruncu)
Abburradu| sporco e grezzo Es: sese tottu sa vida abburradu, o puresciu! - Trad: sei tutta la vita porco, o zozzone! (Ringraziamo peppe per la segnalazione)
1- Abburresciu| ubriaco fradicio. (es.: Onofrio esti Abburresciu in sa panchina de Via Roma! - trad.: Onofrio è ubriaco fradicio nella panchina di via Roma!) grazie a Pino per l'avvistamento.
